"dod_firm","lob_firm","dod_awards","dod_contracts","lob_payments"
"boulder nonlinear systems inc","boulder nonlinear systems","139411","2","30000"
"emag technologies inc","","1048400","4","0"
"dedicated electronics inc","","749831","1","0"
"referentia systems inc","referentia systems","3458206","1","90000"
"sysense corp","","248452","2","0"
"gvd corp","","1294291","2","0"
"fisher electric technology","","100000","1","0"
"lsa","","867165","4","0"
"nexgen aircraft corp","","784398","1","0"
"odyssian technology llc","","99944","1","0"
"arete associates","arete associates","12482886","28","360000"
"gitam technologies inc","","200000","2","0"
"surface optics corp","","2518027","3","0"
"flodesign inc","flodesign inc","79955","1","450000"
"flow analysis inc","","846004","2","0"
"area i inc","","969937","3","0"
"spectracom corp","","99037","1","0"
"optimal synthesis inc","","949951","3","0"
"piasecki aircraft corp","piasecki aircraft","2725013","5","600000"
"cfe services","","98631","1","0"
"cg2 inc a quantum3d co","","849907","2","0"
"flight safety technologies inc","flight safety technology inc","99316","1","851000"
"guild associates inc","guild associates","880560","2","120000"
"cyrano sciences inc","","91185","1","0"
"akela inc","akeela inc","69994","1","225560"
"flight works inc","","99845","1","0"
"systems technology inc","systems technologies","69974","1","465000"
"innovative scientific solutions inc","innovative science solutions llc","724059","1","40000"
"virage inc","","991277","1","0"
"d star engineering","","99000","1","0"
"intuidex inc","","99993","1","0"
"aero composites","","49771","1","0"
"set associates corp","","6216449","12","0"
"nokomis inc","nokomis inc","850000","1","370000"
"tao of systems integration inc","","926486","3","0"
"austral engineering and software inc","","99669","1","0"
"mosaic atm inc","","1731222","5","0"
"swift engineering inc","swift engineering","149694","2","0"
"thorpe seeop","","1799982","5","0"
"two lights technologies llc","","98959","1","0"
"innovative dynamics","","441031","2","0"
"xedar corp","","50000","1","0"
"ambalux corp","","99949","1","0"
"intelligent models inc","","99056","1","0"
"smart information flow technologies d b","","799857","2","0"
"coolcad electronics","","98994","1","0"
"parietal systems inc","","99997","1","0"
"atss inc","","49675","1","0"
"integrated activity based simulation research","","69991","1","0"
"eic laboratories inc","","601650","1","0"
"cloud cap technology","","2731734","6","0"
"navmar applied sciences corp","navmar applied sciences","1069652","4","110000"
"orincon corp","orincon corp","785971","2","600000"
"oregon iron works inc","oregon iron works","2329401","1","2130000"
"sonoma design group","","2756958","6","0"
"luna innovations inc","","1049891","4","0"
"american technology and services inc","","100000","1","0"
"brandebury tool co inc","","69942","1","0"
"athena technologies inc","athena biotechologies inc","935463","3","95000"
"advanced anti terror technologies corp","","99975","1","0"
"applied signal and image technology inc","","63604","1","0"
"impact technologies llc","","2413148","8","0"
"oceanit laboratories inc","oceanit laboratories","1944981","6","170000"
"ssg inc","","1177317","2","0"
"lewis innovative technologies inc","","99992","1","0"
"dara aviation","","69989","1","0"
"fermionics corp","","99713","1","0"
"neurodyne inc","","800257","2","0"
"lite machines corp","lite machines corp","5394160","7","30000"
"bihrle applied research inc","","179890","2","0"
"embedded systems llc","","749976","1","0"
"sensible machines inc","","79321","1","0"
"optrec inc","optech inc","450000","1","540000"
"imsar llc","","846604","2","0"
"waveband corp","waveband corp","99972","1","20000"
"mnemonics inc","","99989","1","0"
"tanner research inc","tanner research","4245995","9","159500"
"black forest engineering llc","","1586494","3","0"
"qualtech systems inc","","69857","1","0"
"stiefvater consultants","","2288435","4","0"
"teolis consulting","","79505","1","0"
"integrated solutions for systems","","99869","1","0"
"aerius photonics llc","aerius photonics","199990","2","50000"
"physical sciences inc","physical sciences inc","3876037","16","610000"
"nutronics inc","","949305","3","0"
"kcf technologies inc","kcf technologies","899815","2","260000"
"innovative design and research inc","","599978","2","0"
"minnesota wire and cable co","","149935","1","0"
"applied nanofemto technologies llc","","849977","2","0"
"signature research inc","","99982","1","0"
"epack inc","","100000","1","0"
"wintec inc","wintech inc","1118425","1","370000"
"traclabs inc","","1599489","3","0"
"demaco inc","","845724","1","0"
"advanced propulsion technologies inc","","99000","1","0"
"pro tech","","807866","2","0"
"semandex networks inc","semandex networks","142118","1","250000"
"nascent technology corp","","1892990","6","0"
"milli sensor systems and actuators","","179981","2","0"
"millimeter wave technology inc","","100000","1","0"
"sapien systems","","99999","1","0"
"hps simulations","","99935","1","0"
"aeromech engineering inc","","79975","1","0"
"omnitek partners llc","","483115","2","0"
"medeco inc","","97866","1","0"
"knowledge based systems inc","","69940","1","0"
"sonalysts inc","","900000","1","0"
"st research corp","","740000","1","0"
"makani power inc","","99616","1","0"
"freestyle technologies inc","","252565","1","0"
"trex enterprises corp","trex enterprises","750000","1","2150000"
"softronics ltd","","699320","1","0"
"enogetek inc","","1748481","4","0"
"vdw design llc","","849426","2","0"
"dcm research resources llc","","98999","1","0"
"decisive analytics corp","","198998","2","0"
"agiltron corp","","749986","1","0"
"ascendant engineering solutions llc","","877020","2","0"
"data fusion corp","","99998","1","0"
"radio design group inc","","65750","1","0"
"analatom inc","","1099904","2","0"
"voicelever inc","","750000","1","0"
"goleta engineering","","2443865","4","0"
"spectra research inc","","1366808","4","0"
"oca applied optics inc","","730393","1","0"
"vipmobile inc","","949997","3","0"
"innovative automation technologies llc","","848307","2","0"
"quasonix llc","","99958","1","0"
"fermion government services llc","","78829","1","0"
"spatial digital systems inc","","99960","1","0"
"microxact inc","","1588450","3","0"
"information technology and applications co","information technology and applications co","98199","1","920000"
"mainstream engineering corp","mainstream engineering","1748758","8","230000"
"chi systems inc","","69964","1","0"
"spire corp","spire corp","620668","2","30000"
"mustang technology group lp","mustang technology group","99975","1","820000"
"fibertek inc","fibrek inc","588397","4","100000"
"protonex technology corp","protonex technology","1649007","2","20000"
"global technical systems","global technology systems","99963","1","40000"
"bonner motor corp","","833780","2","0"
"hypres inc","","99906","1","0"
"information machines international","","69881","1","0"
"directed energy solutions","directed energy solutions","749969","1","0"
"q peak inc","","99880","1","0"
"luma systems inc","","98285","1","0"
"quantum magnetics inc","","838225","1","0"
"perceptek","","1221961","6","0"
"zybron inc","","99681","1","0"
"capraro technologies inc","","849931","2","0"
"systems and processes engineering corp","","2547191","6","0"
"innoflight inc","","1638958","2","0"
"ahltek entree wireless","","842619","2","0"
"aereon corp","aerofon corp","3612029","2","160000"
"paragon space development corp","paragon space development corp","168540","2","10000"
"isx corp","","4058329","7","0"
"evan guy enterprises inc","","70000","1","0"
"frost communications inc","","98944","1","0"
"cardinal peak llc","","70000","1","0"
"radar guidance inc","","49074","1","0"
"atair aerospace","atair aerospace","189848","2","0"
"innovative survivability technologies","","69965","1","0"
"nei corp","","100000","1","0"
"nohm technologies","","149922","1","0"
"be meyers and co inc","be meyers and co","1549225","3","970000"
"sa photonics llc","sa photonics","721881","2","130000"
"starvision technologies inc","","69985","1","0"
"cfd research corp","cfd research corp","1797419","4","80000"
"data flux systems inc","","69999","1","0"
"nucleus scientific inc","","150000","1","0"
"i comm engineering corp","","68673","1","0"
"technical solutions inc","","849970","2","0"
"daedalus research inc","","787426","4","0"
"interactive intelligent imagery corp","","66150","1","0"
"accurate automation corp","accurate automation","2590235","10","0"
"kinetic bei llc","","2592673","5","0"
"g and g technology inc","","143538","1","0"
"design intelligence inc llc","","199880","2","0"
"applied physical sciences corp","","99981","1","0"
"3 phoenix inc","","99865","1","0"
"microlink devices","microlink devices","70000","1","6000"
"scientific research corp","scientific research corp","1789302","6","830000"
"coherent logix inc","","2747440","6","0"
"clifton laboratories inc","","99960","1","0"
"prediction systems inc","","2667324","2","0"
"vector microwave research corp","","43829","1","0"
"sonex research inc","sonex research","68500","1","40000"
"cmi technology","","94116","1","0"
"schafer corp","schafer corp","169918","2","280000"
"innovative power solutions llc","","328817","3","0"
"mmcomm inc","","749549","1","0"
"viasat inc","viasat inc","135664","2","890000"
"hvs technologies inc","","70000","1","0"
"carr astronautics corp","","99993","1","0"
"vecna technologies inc","vecna technologies","148999","1","190000"
"vishwa robotics and automation llc","","749594","1","0"
"computational sensors corp","","99982","1","0"
"tecolote research inc","","100000","1","0"
"laser power corp","","98173","1","0"
"advanced optical systems inc","advanced optical systems","594257","2","40000"
"materials and electrochemical research me","","70000","1","0"
"advanced rotorcraft technology inc","","1774598","4","0"
"worldwide aeros corp","worldwide aeros","69849","1","510000"
"scientific monitoring inc","","169562","2","0"
"materials modification inc","materials modicfication","499999","1","0"
"composite technology development inc","composite technology development","848886","2","220000"
"bsei","","69991","1","0"
"quasar federal systems inc","","1596856","5","0"
"airbeams llc","","69346","1","0"
"qortek inc","","169975","2","0"
"aveox inc","aveso inc","95420","1","60000"
"miami valley aerospace llc","","200000","2","0"
"advanced power technologies inc","advanced power technologies","67479","1","430000"
"dr technologies inc","dr technologies","749000","1","470000"
"compositex","","921730","2","0"
"bosch aerospace inc","","912635","2","0"
"aurora flight sciences corp","aurora flight sciences","10382553","30","1930333"
"advanced scientific concepts inc","advanced scientific concepts","4195346","11","45000"
"coherent applications inc","","99912","1","0"
"adaptive materials inc","","179916","2","0"
"acuity technologies inc","","1655536","2","0"
"lumilant inc","","99963","1","0"
"propagation research associates","","830000","2","0"
"enigmatics inc","","99121","1","0"
"astron wireless technoligies inc","","79959","1","0"
"r and d software systems inc","","839131","2","0"
"global technology connection inc","","1353023","1","0"
"applied mathematics inc","","99000","1","0"
"science and engineering services inc","science and engineering services","98530","1","860000"
"horizon space systems corp","","93631","1","0"
"altex technologies corp","","179836","2","0"
"malaney aircraft corp","","93404","1","0"
"bostan research inc","","779159","2","0"
"dspcon","","749888","1","0"
"geco inc","","99767","1","0"
"fifth gait technologies","","897749","2","0"
"icosystem corp","","169276","2","0"
"ridgetop group inc","","248616","2","0"
"milsys technologies llc","milsys technologies","69829","1","380000"
"phoenix analysis and design technologies","","99717","1","0"
"computer visioin group inc","","99993","1","0"
"advanced acoustic concepts inc","advanced acoustic concepts","998716","1","2290000"
"advanced projects research inc","advanced projects research","916340","3","340000"
"vorcat inc","","99000","1","0"
"graviton inc","graviton inc","67586","1","60000"
"lsa inc","","99810","1","0"
"eclipse energy systems inc","eclipse energy systems","119954","1","10000"
"mentis sciences inc","mentis sciences","3942104","1","520000"
"toyon research corp","","12197186","36","0"
"tracking and imaging systems inc","","2099116","1","0"
"monterey technologies inc","","949772","3","0"
"invercon llc","","729876","1","0"
"photon research associates inc","","848380","2","0"
"nanohmics inc","","1388838","3","0"
"d star engineering corp","","4710134","9","0"
"kitware","","79994","1","0"
"digital fusion","digital fusion","591399","2","494000"
"collier research corp","","749994","1","0"
"eutecus inc","","749992","3","0"
"kairos microsystems corp","","924934","2","0"
"cornerstone research group inc","","98999","1","0"
"gorca systems inc","","1827135","3","0"
"aerocross systems inc","","748275","1","0"
"polartronix","","146535","1","0"
"lightpath technologies","","149830","1","0"
"mide technology corp","","198000","2","0"
"imaging microsensors inc","","68032","1","0"
"advanced cerametrics inc","advanced ceremetrics","98710","1","80000"
"ia tech inc","","100000","1","0"
"star h corp","","209493","3","0"
"cyphy works","","98419","1","0"
"vectraxx inc","","99986","1","0"
"time domain corp","time domain corp","1259931","4","3300000"
"applied technology associates","","999790","1","0"
"sigma space corp","sigma space corp","1416200","3","510000"
"aetc inc","","100000","1","0"
"mav6","","99829","1","0"
"gird systems inc","","728647","1","0"
"sensors unlimited inc","","100000","1","0"
"advanced coherent technologies","advanced core technologies","1792289","4","54000"
"tk engineering associates inc","","1513305","4","0"
"jp innovations llc","","99692","1","0"
"optical physics co","","249969","2","0"
"simpson weather associates inc","","94210","1","0"
"ambient micro","","1198964","1","0"
"ionfinity llc","","562207","2","0"
"natural selection inc","natural selection","816167","2","20000"
"venus technology inc","","99627","1","0"
"barron associates inc","","5867295","16","0"
"scientific simulations llc","","99793","1","0"
"coherent systems international corp","coherent systems international","1785327","2","40000"
"fastvdo llc","","849546","2","0"
"avtec systems inc","","600000","1","0"
"irobot corp","irobot corp","1388888","8","1100000"
"charles river analytics inc","charles river analytics","3509527","17","43750"
"san diego research center inc","","782511","2","0"
"tetravue inc","","69983","1","0"
"gse inc","","1896698","5","0"
"microsat systems","","2349857","3","0"
"polatomic inc","","4480084","8","0"
"engineering tecknowledgey applications","","848774","2","0"
"firestar engineering llc","","98303","1","0"
"national wireless inc","","67496","1","0"
"aptima inc","","1590000","6","0"
"micro analysis and design inc","","345183","1","0"
"pepin associates inc","","99992","1","0"
"neva ridge technologies inc","","98928","1","0"
"dynamics technology inc","","1833375","3","0"
"integrated wave technologies inc","integrated wave technologies","89489","1","495000"
"baker engineering inc","","1049081","2","0"
"kalscott engineering inc","","1672203","8","0"
"technology service corp","technology service corp","7981530","15","200000"
"gohypersonic inc","","99993","1","0"
"american gnc corp","american signal corp","1109111","5","240287"
"survice engineering co","","99953","1","0"
"observera inc","","747801","1","0"
"signal processing inc","","848999","2","0"
"brock technologies inc","","2620667","3","0"
"panx imaging inc","","99999","1","0"
"pacific advanced technology","","99315","1","0"
"hood technology corp","","998683","4","0"
"thin gap corp formerly g and g technolog","","848472","1","0"
"procerus technologies lc","","849937","2","0"
"svs inc","","993671","1","0"
"numerica corp","numerica corp","4043189","5","0"
"information extraction and transport inc","","1587666","3","0"
"innovative concepts inc","innovative concepts","1030446","2","330000"
"defense group inc","defense group","99935","1","610000"
"perceptronics solutions inc","","2224990","5","0"
"architecture technology corp","","848677","2","0"
"chiaro technologies llc","","750000","1","0"
"coherent technologies inc","coherent technologies","5453032","15","510000"
"big fun development corp","","919740","3","0"
"kor electronics","kor electronics","1499998","1","290000"
"zona technology inc","","1284184","6","0"
"fibersense technology corp","","117603","2","0"
"us positioning group llc","","99874","1","0"
"energid technologies","enerdyne technologies","69948","1","115000"
"cybernet systems corp","cybernet systems","2019596","5","1192000"
"advanced ceramics research inc","advanced ceramics research","12009838","23","1439277"
"mc10 inc","","100000","1","0"
"zeger abrams inc","","744345","1","0"
"system dynamics","","299651","3","0"
"rvm scientific inc","","100000","1","0"
"sky research inc","sky research","79994","1","0"
"paneratech","","99921","1","0"
"jm harwood llc","","796267","2","0"
"scientific applications and research associates","","8731153","17","0"
"giner inc","giner inc","821298","2","60000"
"first rf corp","firstar corp","7186612","20","20000"
"ram photonics","","99950","1","0"
"malibu research associates inc","","849772","2","0"
"mission research corp","","2382885","3","0"
"tessera technologies inc","tessera technologies","69918","1","1320000"
"sa photonics","sa photonics","1926328","6","130000"
"saraswati associates","","746624","1","0"
"intevac inc","","99676","1","0"
"williams pyro inc","williams pyro inc","1599809","3","130000"
"digital system resources inc","digital system resources inc","100000","1","440000"
"alphatech inc","","1445738","9","0"
"farco technologies inc","","230000","2","0"
"m dot aerospace","m dot aerospace","2646574","6","20000"
"photon x inc","photon x inc","749807","1","0"
"scitec inc","","986684","1","0"
"vista research inc","vista research","79613","1","160000"
"connecticut analytical corp","","69988","1","0"
"delta group international llc","","69941","1","0"
"srs technologies","","199164","2","0"
"cati training systems llc","","69734","1","0"
"infoscitex corp","","3270241","5","0"
"anro engineering inc","","50653","1","0"
"compusensor technology corp","","697726","2","0"
"ziva corp","","2147186","2","0"
"left hand design corp","","748202","1","0"
"centeye inc","","3685443","5","0"
"applied nanotech inc","","99997","1","0"
"cbrite inc","","149882","1","0"
"nextech materials ltd","","100000","1","0"
"aeronix inc","","1442798","2","0"
